Input Files Path : ./benchmarks/MKG-Y/
The toolkit is importing datasets.
Test Head: 7936 4 3773 0

Test Tail: 7936 4 3773 0

Test Head: 7944 4 818 0

Test Tail: 7944 4 818 0

Test Head: 7946 4 3393 0

Test Tail: 7946 4 3393 0

Test Head: 8167 4 6244 0

Test Tail: 8167 4 6244 0

Test Head: 8196 4 1603 0

Test Tail: 8196 4 1603 0

Test Head: 8368 4 502 0

Test Tail: 8368 4 502 0

Test Head: 8391 4 3802 0

Test Tail: 8391 4 3802 0

Test Head: 8410 4 6504 24

Test Tail: 8410 4 6504 8

Test Head: 8425 4 4916 0

Test Tail: 8425 4 4916 0

Test Head: 8427 4 3941 40

Test Tail: 8427 4 3941 21

Test Head: 8465 4 8466 0

Test Tail: 8465 4 8466 0

Test Head: 8494 4 1851 0

Test Tail: 8494 4 1851 0

Test Head: 8502 4 8192 0

Test Tail: 8502 4 8192 0

Test Head: 8517 4 8518 0

Test Tail: 8517 4 8518 0

Test Head: 8554 4 10644 1

Test Tail: 8554 4 10644 0

Test Head: 8583 4 10266 0

Test Tail: 8583 4 10266 0

Test Head: 8661 4 5827 0

Test Tail: 8661 4 5827 0

Test Head: 8665 4 14880 536

Test Tail: 8665 4 14880 12687

Test Head: 8716 4 2641 0

Test Tail: 8716 4 2641 0

Test Head: 8716 4 8814 0

Test Tail: 8716 4 8814 0

Test Head: 8773 4 3223 0

Test Tail: 8773 4 3223 0

Test Head: 8810 4 8811 0

Test Tail: 8810 4 8811 0

Test Head: 8818 4 8819 0

Test Tail: 8818 4 8819 0

Test Head: 8822 4 1631 0

Test Tail: 8822 4 1631 0

Test Head: 8869 4 12250 1

Test Tail: 8869 4 12250 4

Test Head: 8886 4 1307 0

Test Tail: 8886 4 1307 0

Test Head: 8935 4 927 0

Test Tail: 8935 4 927 0

Test Head: 8996 4 1823 0

Test Tail: 8996 4 1823 0

Test Head: 9034 4 1350 0

Test Tail: 9034 4 1350 0

Test Head: 9105 4 7442 0

Test Tail: 9105 4 7442 0

Test Head: 9162 4 357 0

Test Tail: 9162 4 357 0

Test Head: 9222 4 2011 0

Test Tail: 9222 4 2011 0

Test Head: 9245 4 5916 0

Test Tail: 9245 4 5916 0

Test Head: 9261 4 9262 0

Test Tail: 9261 4 9262 0

Test Head: 9310 4 357 0

Test Tail: 9310 4 357 0

Test Head: 9328 4 1310 52

Test Tail: 9328 4 1310 12

Test Head: 9377 4 4216 0

Test Tail: 9377 4 4216 0

Test Head: 9407 4 2405 1082

Test Tail: 9407 4 2405 28

Test Head: 9438 4 401 0

Test Tail: 9438 4 401 0

Test Head: 9502 4 398 0

Test Tail: 9502 4 398 0

Test Head: 9538 4 8378 0

Test Tail: 9538 4 8378 0

Test Head: 9636 4 3591 0

Test Tail: 9636 4 3591 0

Test Head: 9649 4 1176 0

Test Tail: 9649 4 1176 0

Test Head: 9662 4 13362 0

Test Tail: 9662 4 13362 0

Test Head: 9705 4 9287 0

Test Tail: 9705 4 9287 0

Test Head: 9719 4 423 0

Test Tail: 9719 4 423 0

Test Head: 9753 4 6821 0

Test Tail: 9753 4 6821 0

Test Head: 9791 4 6433 3

Test Tail: 9791 4 6433 0

Test Head: 9803 4 9804 0

Test Tail: 9803 4 9804 0

Test Head: 9845 4 2113 0

Test Tail: 9845 4 2113 0

Test Head: 9942 4 1878 0

Test Tail: 9942 4 1878 0

Test Head: 9988 4 1040 0

Test Tail: 9988 4 1040 1

Test Head: 10085 4 5032 0

Test Tail: 10085 4 5032 0

Test Head: 10190 4 4789 0

Test Tail: 10190 4 4789 0

Test Head: 10196 4 4476 0

Test Tail: 10196 4 4476 0

Test Head: 10196 4 10197 0

Test Tail: 10196 4 10197 0

Test Head: 10417 4 3913 0

Test Tail: 10417 4 3913 0

Test Head: 10430 4 10431 0

Test Tail: 10430 4 10431 0

Test Head: 10433 4 445 1207

Test Tail: 10433 4 445 201

Test Head: 10462 4 9 0

Test Tail: 10462 4 9 0

Test Head: 10508 4 14747 904

Test Tail: 10508 4 14747 13729

Test Head: 10529 4 10192 0

Test Tail: 10529 4 10192 0

Test Head: 10534 4 2002 0

Test Tail: 10534 4 2002 0

Test Head: 10554 4 181 0

Test Tail: 10554 4 181 0

Test Head: 10563 4 9 3

Test Tail: 10563 4 9 2

Test Head: 10632 4 10633 0

Test Tail: 10632 4 10633 0

Test Head: 10646 4 3455 0

Test Tail: 10646 4 3455 0

Test Head: 10746 4 1389 0

Test Tail: 10746 4 1389 0

Test Head: 10774 4 6988 0

Test Tail: 10774 4 6988 0

Test Head: 10789 4 9 0

Test Tail: 10789 4 9 0

Test Head: 10792 4 6095 0

Test Tail: 10792 4 6095 0

Test Head: 10894 4 11192 0

Test Tail: 10894 4 11192 0

Test Head: 10904 4 15 0

Test Tail: 10904 4 15 0

Test Head: 10967 4 739 0

Test Tail: 10967 4 739 0

Test Head: 11020 4 8740 0

Test Tail: 11020 4 8740 0

Test Head: 11111 4 3732 0

Test Tail: 11111 4 3732 0

Test Head: 11153 4 3134 0

Test Tail: 11153 4 3134 0

Test Head: 11336 4 14007 0

Test Tail: 11336 4 14007 0

Test Head: 11374 4 2113 0

Test Tail: 11374 4 2113 0

Test Head: 11415 4 237 0

Test Tail: 11415 4 237 0

Test Head: 11430 4 82 0

Test Tail: 11430 4 82 0

Test Head: 11451 4 1526 0

Test Tail: 11451 4 1526 0

Test Head: 11561 4 14573 967

Test Tail: 11561 4 14573 10353

Test Head: 11563 4 2773 0

Test Tail: 11563 4 2773 0

Test Head: 11608 4 2103 0

Test Tail: 11608 4 2103 0

Test Head: 11608 4 7395 0

Test Tail: 11608 4 7395 0

Test Head: 11608 4 8630 170

Test Tail: 11608 4 8630 59

Test Head: 11647 4 5974 1

Test Tail: 11647 4 5974 0

Test Head: 11660 4 3544 0

Test Tail: 11660 4 3544 0

Test Head: 11696 4 587 0

Test Tail: 11696 4 587 0

Test Head: 11697 4 925 0

Test Tail: 11697 4 925 0

Test Head: 11735 4 815 0

Test Tail: 11735 4 815 0

Test Head: 11796 4 918 61

Test Tail: 11796 4 918 24

Test Head: 11827 4 8978 0

Test Tail: 11827 4 8978 0

Test Head: 11833 4 5344 0

Test Tail: 11833 4 5344 0

Test Head: 11857 4 502 0

Test Tail: 11857 4 502 0

Test Head: 11857 4 6803 0

Test Tail: 11857 4 6803 0

Test Head: 11868 4 19 0

Test Tail: 11868 4 19 0

Test Head: 11888 4 8668 0

Test Tail: 11888 4 8668 0

Test Head: 11972 4 10966 0

Test Tail: 11972 4 10966 0

Test Head: 11980 4 13422 4

Test Tail: 11980 4 13422 2

Test Head: 11991 4 14573 4553

Test Tail: 11991 4 14573 8173

Test Head: 12021 4 6136 0

Test Tail: 12021 4 6136 0

Test Head: 12053 4 9092 19

Test Tail: 12053 4 9092 5

Test Head: 12112 4 3485 0

Test Tail: 12112 4 3485 0

Test Head: 12117 4 401 0

Test Tail: 12117 4 401 0

Test Head: 12118 4 815 0

Test Tail: 12118 4 815 0

Test Head: 12139 4 522 204

Test Tail: 12139 4 522 131

Test Head: 12200 4 3541 0

Test Tail: 12200 4 3541 0

Test Head: 12315 4 4394 2

Test Tail: 12315 4 4394 0

Test Head: 12352 4 1151 0

Test Tail: 12352 4 1151 0

Test Head: 12491 4 2057 0

Test Tail: 12491 4 2057 0

Test Head: 12542 4 1757 0

Test Tail: 12542 4 1757 0

Test Head: 12639 4 3544 0

Test Tail: 12639 4 3544 0

Test Head: 12651 4 1878 2576

Test Tail: 12651 4 1878 19

Test Head: 12889 4 12890 0

Test Tail: 12889 4 12890 0

Test Head: 12942 4 5238 0

Test Tail: 12942 4 5238 0

Test Head: 12970 4 6836 1

Test Tail: 12970 4 6836 0

Test Head: 12971 4 918 0

Test Tail: 12971 4 918 0

Test Head: 12980 4 7019 0

Test Tail: 12980 4 7019 0

Test Head: 12991 4 11351 62

Test Tail: 12991 4 11351 6

Test Head: 13020 4 14285 4

Test Tail: 13020 4 14285 10

Test Head: 13033 4 11445 0

Test Tail: 13033 4 11445 0

Test Head: 13116 4 4112 2061

Test Tail: 13116 4 4112 8118

Test Head: 13132 4 2641 0

Test Tail: 13132 4 2641 0

Test Head: 13158 4 13159 0

Test Tail: 13158 4 13159 0

Test Head: 13240 4 2067 0

Test Tail: 13240 4 2067 0

Test Head: 13267 4 12920 0

Test Tail: 13267 4 12920 0

Test Head: 13313 4 3941 0

Test Tail: 13313 4 3941 0

Test Head: 13355 4 1637 0

Test Tail: 13355 4 1637 0

Test Head: 13379 4 2723 0

Test Tail: 13379 4 2723 0

Test Head: 13380 4 3438 0

Test Tail: 13380 4 3438 0

Test Head: 13438 4 2032 0

Test Tail: 13438 4 2032 0

Test Head: 13444 4 5321 442

Test Tail: 13444 4 5321 43

Test Head: 13541 4 13542 0

Test Tail: 13541 4 13542 0

Test Head: 13637 4 12753 0

Test Tail: 13637 4 12753 0

Test Head: 13670 4 13671 0

Test Tail: 13670 4 13671 0

Test Head: 13698 4 1232 0

Test Tail: 13698 4 1232 0

Test Head: 13754 4 7682 0

Test Tail: 13754 4 7682 0

Test Head: 13820 4 2587 0

Test Tail: 13820 4 2587 0

Test Head: 13824 4 53 5

Test Tail: 13824 4 53 3

Test Head: 13839 4 5974 0

Test Tail: 13839 4 5974 0

Test Head: 13873 4 12250 0

Test Tail: 13873 4 12250 0

Test Head: 13912 4 1720 0

Test Tail: 13912 4 1720 0

Test Head: 13950 4 3263 0

Test Tail: 13950 4 3263 0

Test Head: 13964 4 3366 0

Test Tail: 13964 4 3366 0

Test Head: 13979 4 5124 0

Test Tail: 13979 4 5124 0

Test Head: 13980 4 2641 948

Test Tail: 13980 4 2641 26

Test Head: 14048 4 1631 0

Test Tail: 14048 4 1631 0

Test Head: 14064 4 3645 5000

Test Tail: 14064 4 3645 144

Test Head: 14071 4 2689 0

Test Tail: 14071 4 2689 0

Test Head: 14124 4 1565 0

Test Tail: 14124 4 1565 2

Test Head: 14190 4 1835 0

Test Tail: 14190 4 1835 0

Test Head: 14212 4 191 0

Test Tail: 14212 4 191 0

Test Head: 14263 4 4782 208

Test Tail: 14263 4 4782 5

Test Head: 14298 4 4883 6

Test Tail: 14298 4 4883 0

Test Head: 14299 4 3784 0

Test Tail: 14299 4 3784 0

Test Head: 14439 4 5032 12006

Test Tail: 14439 4 5032 550

Test Head: 14596 4 1790 13090

Test Tail: 14596 4 1790 361

Test Head: 14610 4 8240 11814

Test Tail: 14610 4 8240 1388

Test Head: 14693 4 1391 12004

Test Tail: 14693 4 1391 113

Test Head: 14766 4 3965 13141

Test Tail: 14766 4 3965 88

Test Head: 14767 4 1124 1155

Test Tail: 14767 4 1124 28

Test Head: 14801 4 1565 12929

Test Tail: 14801 4 1565 101

Test Head: 14822 4 7677 10945

Test Tail: 14822 4 7677 844

Test Head: 14831 4 14832 8140

Test Tail: 14831 4 14832 5031

Test Head: 14851 4 5486 6106

Test Tail: 14851 4 5486 224

Test Head: 14869 4 10793 4193

Test Tail: 14869 4 10793 54

Test Head: 14887 4 5578 2066

Test Tail: 14887 4 5578 3

Test Head: 14935 4 37 6069

Test Tail: 14935 4 37 1

Test Head: 14993 4 14832 3744

Test Tail: 14993 4 14832 1811

Test Head: 303 5 6080 1

Test Tail: 303 5 6080 0

Test Head: 743 5 14782 1010

Test Tail: 743 5 14782 14952

Test Head: 1193 5 6376 6521

Test Tail: 1193 5 6376 2408

Test Head: 1605 5 1604 0

Test Tail: 1605 5 1604 0

Test Head: 1782 5 5706 521

Test Tail: 1782 5 5706 61

Test Head: 1816 5 241 4

Test Tail: 1816 5 241 2

Test Head: 1940 5 4780 1

Test Tail: 1940 5 4780 4

Test Head: 2873 5 8227 0

Test Tail: 2873 5 8227 0

Test Head: 3312 5 758 0

Test Tail: 3312 5 758 0

Test Head: 3991 5 3990 1

Test Tail: 3991 5 3990 1

Test Head: 4188 5 10919 8

Test Tail: 4188 5 10919 6

Test Head: 4448 5 9181 0

Test Tail: 4448 5 9181 0

Test Head: 4525 5 2819 1

Test Tail: 4525 5 2819 10

Test Head: 4564 5 12761 1

Test Tail: 4564 5 12761 3

Test Head: 4779 5 2900 280

Test Tail: 4779 5 2900 6

Test Head: 4800 5 450 5508

Test Tail: 4800 5 450 425

Test Head: 4846 5 7769 7954

Test Tail: 4846 5 7769 108

Test Head: 4851 5 13168 0

Test Tail: 4851 5 13168 0

Test Head: 4943 5 14009 934

Test Tail: 4943 5 14009 203

Test Head: 5134 5 12887 0

Test Tail: 5134 5 12887 0

Test Head: 5749 5 3502 0

Test Tail: 5749 5 3502 0

Test Head: 5927 5 5926 1

Test Tail: 5927 5 5926 1

Test Head: 6657 5 12290 0

Test Tail: 6657 5 12290 0

Test Head: 6722 5 6701 0

Test Tail: 6722 5 6701 0

Test Head: 6947 5 23 2

Test Tail: 6947 5 23 3

Test Head: 7438 5 11106 1

Test Tail: 7438 5 11106 0

Test Head: 7705 5 7991 4

Test Tail: 7705 5 7991 0

Test Head: 7715 5 5483 0

Test Tail: 7715 5 5483 2

Test Head: 8180 5 1906 0

Test Tail: 8180 5 1906 9

Test Head: 8269 5 8730 666

Test Tail: 8269 5 8730 167

Test Head: 8323 5 2780 343

Test Tail: 8323 5 2780 27

Test Head: 8361 5 8360 1

Test Tail: 8361 5 8360 1

Test Head: 8844 5 5146 0

Test Tail: 8844 5 5146 0

Test Head: 9205 5 4780 9923

Test Tail: 9205 5 4780 205

Test Head: 9330 5 790 2783

Test Tail: 9330 5 790 72

Test Head: 9536 5 1874 0

Test Tail: 9536 5 1874 0

Test Head: 9669 5 9668 1

Test Tail: 9669 5 9668 1

Test Head: 9750 5 3503 1

Test Tail: 9750 5 3503 3

Test Head: 9812 5 9811 1

Test Tail: 9812 5 9811 1

Test Head: 9829 5 750 0

Test Tail: 9829 5 750 0

Test Head: 10501 5 2439 6

Test Tail: 10501 5 2439 1

Test Head: 10937 5 10428 9

Test Tail: 10937 5 10428 1

Test Head: 10983 5 450 69

Test Tail: 10983 5 450 13

Test Head: 11015 5 11014 0

Test Tail: 11015 5 11014 0

Test Head: 11190 5 7904 0

Test Tail: 11190 5 7904 1

Test Head: 11210 5 3659 4135

Test Tail: 11210 5 3659 76

Test Head: 11222 5 5877 10289

Test Tail: 11222 5 5877 2492

Test Head: 11223 5 12568 8548

Test Tail: 11223 5 12568 714

Test Head: 11227 5 1629 1

Test Tail: 11227 5 1629 0

Test Head: 11227 5 5438 0

Test Tail: 11227 5 5438 0

Test Head: 11318 5 4971 0

Test Tail: 11318 5 4971 0

Test Head: 11322 5 14792 10026

Test Tail: 11322 5 14792 13430

Test Head: 11786 5 1938 0

Test Tail: 11786 5 1938 0

Test Head: 11793 5 1251 1

Test Tail: 11793 5 1251 2

Test Head: 11803 5 790 8

Test Tail: 11803 5 790 15

Test Head: 12052 5 12736 59

Test Tail: 12052 5 12736 20

Test Head: 12510 5 1874 0

Test Tail: 12510 5 1874 0

Test Head: 12516 5 2382 2

Test Tail: 12516 5 2382 10

Test Head: 12536 5 5927 213

Test Tail: 12536 5 5927 14

Test Head: 12849 5 3552 5969

Test Tail: 12849 5 3552 10183

Test Head: 12887 5 5012 1

Test Tail: 12887 5 5012 0

Test Head: 13012 5 241 1

Test Tail: 13012 5 241 3

Test Head: 13113 5 1938 0

Test Tail: 13113 5 1938 0

Test Head: 13241 5 4505 104

Test Tail: 13241 5 4505 1

Test Head: 13262 5 2986 0

Test Tail: 13262 5 2986 0

Test Head: 13468 5 13470 1

Test Tail: 13468 5 13470 1

Test Head: 13644 5 14969 12604

Test Tail: 13644 5 14969 14073

Test Head: 13733 5 5692 0

Test Tail: 13733 5 5692 0

Test Head: 13743 5 11793 2

Test Tail: 13743 5 11793 1

Test Head: 14134 5 6863 0

Test Tail: 14134 5 6863 0

Test Head: 14202 5 8179 2

Test Tail: 14202 5 8179 1

Test Head: 14285 5 2851 3

Test Tail: 14285 5 2851 0

Test Head: 14329 5 1938 0

Test Tail: 14329 5 1938 0

Test Head: 14369 5 14370 0

Test Tail: 14369 5 14370 0

Test Head: 14445 5 1938 5888

Test Tail: 14445 5 1938 1

Test Head: 14524 5 11815 13865

Test Tail: 14524 5 11815 4392

Test Head: 14552 5 2730 9209

Test Tail: 14552 5 2730 3

Test Head: 14552 5 11893 8338

Test Tail: 14552 5 11893 1

Test Head: 14587 5 5971 617

Test Tail: 14587 5 5971 45

Test Head: 14588 5 5971 11566

Test Tail: 14588 5 5971 145

Test Head: 14617 5 14616 680

Test Tail: 14617 5 14616 3133

Test Head: 14675 5 1938 11557

Test Tail: 14675 5 1938 152

Test Head: 14731 5 4565 3776

Test Tail: 14731 5 4565 47

Test Head: 14760 5 7480 735

Test Tail: 14760 5 7480 60

Test Head: 14783 5 2094 467

Test Tail: 14783 5 2094 17

Test Head: 14785 5 1251 13555

Test Tail: 14785 5 1251 6545

Test Head: 14799 5 9653 13375

Test Tail: 14799 5 9653 702

Test Head: 14809 5 6497 12007

Test Tail: 14809 5 6497 1329

Test Head: 14819 5 7480 11775

Test Tail: 14819 5 7480 13341

Test Head: 14824 5 1906 2234

Test Tail: 14824 5 1906 1

Test Head: 14824 5 14545 712

Test Tail: 14824 5 14545 2206

Test Head: 14844 5 14544 4221

Test Tail: 14844 5 14544 3047

Test Head: 14849 5 13470 14461

Test Tail: 14849 5 13470 663

Test Head: 14862 5 895 14663

Test Tail: 14862 5 895 13726

Test Head: 14888 5 14889 4962

Test Tail: 14888 5 14889 425

Test Head: 14891 5 14892 10465

Test Tail: 14891 5 14892 11770

Test Head: 14898 5 790 12388

Test Tail: 14898 5 790 3

Test Head: 14905 5 13518 3417

Test Tail: 14905 5 13518 35

Test Head: 14919 5 2900 11745

Test Tail: 14919 5 2900 3

Test Head: 14923 5 4850 9555

Test Tail: 14923 5 4850 1112

Test Head: 14923 5 6701 10762

Test Tail: 14923 5 6701 2472

Test Head: 14929 5 2816 12669

Test Tail: 14929 5 2816 3

Test Head: 14938 5 14939 14214

Test Tail: 14938 5 14939 10665

Test Head: 14950 5 14951 331

Test Tail: 14950 5 14951 373

Test Head: 14984 5 14985 6536

Test Tail: 14984 5 14985 12437

Test Head: 14992 5 8624 14776

Test Tail: 14992 5 8624 6435

Test Head: 14995 5 9594 350

Test Tail: 14995 5 9594 19

Test Head: 16 6 1267 292

Test Tail: 16 6 1267 138

Test Head: 46 6 1099 1

Test Tail: 46 6 1099 2

Test Head: 63 6 9011 9

Test Tail: 63 6 9011 1772

Test Head: 143 6 11293 0

Test Tail: 143 6 11293 0

Test Head: 161 6 8444 376

Test Tail: 161 6 8444 1000

Test Head: 161 6 12270 156

Test Tail: 161 6 12270 1539

Test Head: 196 6 6209 44

Test Tail: 196 6 6209 87

Test Head: 196 6 9264 14

Test Tail: 196 6 9264 165

Test Head: 196 6 10285 120

Test Tail: 196 6 10285 1555

Test Head: 220 6 12600 135

Test Tail: 220 6 12600 2172

Test Head: 439 6 14850 134

Test Tail: 439 6 14850 8586

Test Head: 630 6 13400 63

Test Tail: 630 6 13400 1090

Test Head: 652 6 11730 54

Test Tail: 652 6 11730 822

Test Head: 652 6 12081 0

Test Tail: 652 6 12081 0

Test Head: 940 6 431 0

Test Tail: 940 6 431 0

Test Head: 940 6 3811 80

Test Tail: 940 6 3811 597

Test Head: 1056 6 3228 55

Test Tail: 1056 6 3228 353

Test Head: 1056 6 8034 64

Test Tail: 1056 6 8034 1196

Test Head: 1056 6 13284 2

Test Tail: 1056 6 13284 20

Test Head: 1140 6 1141 0

Test Tail: 1140 6 1141 0

Test Head: 1167 6 11728 46

Test Tail: 1167 6 11728 1125

Test Head: 1208 6 14815 16

Test Tail: 1208 6 14815 7880

Test Head: 1311 6 14859 9

Test Tail: 1311 6 14859 7146

Test Head: 1316 6 9689 0

Test Tail: 1316 6 9689 0

Test Head: 1316 6 9999 9433

Test Tail: 1316 6 9999 634

Test Head: 1331 6 7910 0

Test Tail: 1331 6 7910 0

Test Head: 1438 6 2685 0

Test Tail: 1438 6 2685 0

Test Head: 1461 6 8499 27

Test Tail: 1461 6 8499 31

Test Head: 1471 6 2564 107

Test Tail: 1471 6 2564 862

Test Head: 1471 6 13330 30

Test Tail: 1471 6 13330 1282

Test Head: 1676 6 8184 72

Test Tail: 1676 6 8184 990

Test Head: 1881 6 3456 171

Test Tail: 1881 6 3456 1435

Test Head: 1903 6 6073 0

Test Tail: 1903 6 6073 0

Test Head: 1907 6 10298 12

Test Tail: 1907 6 10298 73

Test Head: 1909 6 3226 0

Test Tail: 1909 6 3226 0

Test Head: 2054 6 14058 1

Test Tail: 2054 6 14058 3

Test Head: 2164 6 2165 0

Test Tail: 2164 6 2165 1

Test Head: 2172 6 1764 46

Test Tail: 2172 6 1764 232

Test Head: 2187 6 4208 25

Test Tail: 2187 6 4208 191

Test Head: 2269 6 8102 9

Test Tail: 2269 6 8102 60

Test Head: 2269 6 11773 1

Test Tail: 2269 6 11773 16

Test Head: 2367 6 9007 0

Test Tail: 2367 6 9007 6

Test Head: 2447 6 10924 0

Test Tail: 2447 6 10924 0

Test Head: 2467 6 14773 5

Test Tail: 2467 6 14773 7120

Test Head: 2513 6 635 0

Test Tail: 2513 6 635 0

Test Head: 2513 6 4984 0

Test Tail: 2513 6 4984 0

Test Head: 2522 6 2523 0

Test Tail: 2522 6 2523 0

Test Head: 2547 6 7452 0

Test Tail: 2547 6 7452 0

Test Head: 2642 6 12664 0

Test Tail: 2642 6 12664 4

Test Head: 2710 6 3203 70

Test Tail: 2710 6 3203 3530

Test Head: 2710 6 8169 0

Test Tail: 2710 6 8169 1

Test Head: 2765 6 14262 0

Test Tail: 2765 6 14262 0

Test Head: 2765 6 14774 20

Test Tail: 2765 6 14774 5579

Test Head: 2793 6 9250 2

Test Tail: 2793 6 9250 60

Test Head: 2856 6 2857 0

Test Tail: 2856 6 2857 0

Test Head: 2998 6 11152 89

Test Tail: 2998 6 11152 2703

Test Head: 3000 6 13118 18

Test Tail: 3000 6 13118 111

Test Head: 3067 6 13776 0

Test Tail: 3067 6 13776 0

Test Head: 3113 6 1846 3

Test Tail: 3113 6 1846 22

Test Head: 3147 6 12629 3

Test Tail: 3147 6 12629 71

Test Head: 3152 6 12700 20

Test Tail: 3152 6 12700 1453

Test Head: 3158 6 14450 1892

Test Tail: 3158 6 14450 13812

Test Head: 3183 6 5046 0

Test Tail: 3183 6 5046 0

Test Head: 3239 6 10526 70

Test Tail: 3239 6 10526 440

Test Head: 3258 6 3277 0

Test Tail: 3258 6 3277 1

Test Head: 3282 6 6849 73

Test Tail: 3282 6 6849 114

Test Head: 3282 6 10832 93

Test Tail: 3282 6 10832 1321

Test Head: 3282 6 10872 166

Test Tail: 3282 6 10872 2682

Test Head: 3498 6 9423 10

Test Tail: 3498 6 9423 265

Test Head: 3688 6 6322 496

Test Tail: 3688 6 6322 1266

Test Head: 3688 6 9015 0

Test Tail: 3688 6 9015 0

Test Head: 3691 6 9809 0

Test Tail: 3691 6 9809 61

Test Head: 3718 6 2080 588

Test Tail: 3718 6 2080 146

Test Head: 3769 6 14172 25

Test Tail: 3769 6 14172 347

Test Head: 3769 6 14284 10

Test Tail: 3769 6 14284 350

Test Head: 3892 6 12089 0

Test Tail: 3892 6 12089 3

Test Head: 3982 6 12205 3954

Test Tail: 3982 6 12205 2436

Test Head: 4087 6 108 27

Test Tail: 4087 6 108 261

Test Head: 4114 6 14258 9

Test Tail: 4114 6 14258 601

Test Head: 4138 6 13391 0

Test Tail: 4138 6 13391 3

Test Head: 4174 6 14890 1027

Test Tail: 4174 6 14890 11913

Test Head: 4190 6 4606 0

Test Tail: 4190 6 4606 0

Test Head: 4356 6 6857 520

Test Tail: 4356 6 6857 1238

Test Head: 4356 6 11984 367

Test Tail: 4356 6 11984 1256

Test Head: 4356 6 14872 1724

Test Tail: 4356 6 14872 13012

Test Head: 4361 6 10899 1649

Test Tail: 4361 6 10899 1959

Test Head: 4438 6 14990 55

Test Tail: 4438 6 14990 9028

Test Head: 4449 6 14818 174

Test Tail: 4449 6 14818 9148

Test Head: 4515 6 5544 5

Test Tail: 4515 6 5544 27

Test Head: 4554 6 4555 0

Test Tail: 4554 6 4555 0

Test Head: 4607 6 13930 2861

Test Tail: 4607 6 13930 3584

Test Head: 4658 6 4986 0

Test Tail: 4658 6 4986 8

Test Head: 4658 6 10276 0

Test Tail: 4658 6 10276 13

Test Head: 4751 6 4752 0

Test Tail: 4751 6 4752 2

Test Head: 4847 6 10333 2193

Test Tail: 4847 6 10333 919

Test Head: 5015 6 5016 0

Test Tail: 5015 6 5016 0

Test Head: 5080 6 3499 1208

Test Tail: 5080 6 3499 1506

Test Head: 5121 6 14912 1080

Test Tail: 5121 6 14912 12325

Test Head: 5122 6 12685 69

Test Tail: 5122 6 12685 220

Test Head: 5167 6 5168 0

Test Tail: 5167 6 5168 1

Test Head: 5208 6 12780 0

Test Tail: 5208 6 12780 52

Test Head: 5370 6 5371 1

Test Tail: 5370 6 5371 3

Test Head: 5468 6 8046 0

Test Tail: 5468 6 8046 6

Test Head: 5473 6 1520 272

Test Tail: 5473 6 1520 3856

Test Head: 5473 6 13810 0

Test Tail: 5473 6 13810 0

Test Head: 5588 6 3728 6

Test Tail: 5588 6 3728 9

Test Head: 5739 6 10849 1

Test Tail: 5739 6 10849 6

Test Head: 5800 6 8476 99

Test Tail: 5800 6 8476 112

Test Head: 5928 6 6446 0

Test Tail: 5928 6 6446 0

Test Head: 5928 6 7770 0

Test Tail: 5928 6 7770 0

Test Head: 5928 6 13721 0

Test Tail: 5928 6 13721 0

Test Head: 6532 6 11640 689

Test Tail: 6532 6 11640 1210

Test Head: 6637 6 1416 100

Test Tail: 6637 6 1416 87

Test Head: 6653 6 9981 9135

Test Tail: 6653 6 9981 3546

Test Head: 7033 6 297 0

Test Tail: 7033 6 297 3

Test Head: 7100 6 12830 30

Test Tail: 7100 6 12830 120

Test Head: 7166 6 7996 72

Test Tail: 7166 6 7996 62

Test Head: 7197 6 6529 2421

Test Tail: 7197 6 6529 939

Test Head: 7206 6 13587 3

Test Tail: 7206 6 13587 24

Test Head: 7257 6 836 5

Test Tail: 7257 6 836 16

Test Head: 7276 6 14437 216

